id,dayId,exerciseId,sets,reps,targetWeight,rest,order,notes
"cmt63fqxs000tcnwqpmkkdek3","cmt63fqxs000kcnwq34kneumj","cmt33a9mi002uypj14aewlfcc","3","10",,"60s","7",
"cmt63fqxs000wcnwqk6io10ao","cmt63fqxs000ucnwq22wibick","cmt1wciyw00009yldzko8mc88","3","10",,"60s","0",
"cmt63fqxs000xcnwqynw2qnuo","cmt63fqxs000ucnwq22wibick","cmt1wcjhf00079yld2nduorws","3","10",,"60s","1",
"cmt63fqxs000ycnwqu0mqm6fy","cmt63fqxs000ucnwq22wibick","cmt1wcj7t00039yldl0jfmsq1","3","10",,"60s","2",
"cmt63fqxs000zcnwqmdnctqae","cmt63fqxs000ucnwq22wibick","cmt1wcjjw00089yldaapzyavh","3","10",,"60s","3",
"cmt63fqxs0010cnwqvgokyphq","cmt63fqxs000ucnwq22wibick","cmt1wcja800049yld2j6u9qxx","3","10",,"60s","4",
"cmt63fqxs0011cnwqy0s4iw16","cmt63fqxs000ucnwq22wibick","cmt1wcjm900099yldrez29er5","3","10",,"60s","5",
"cmt63fqxs0012cnwqxl42as9m","cmt63fqxs000ucnwq22wibick","cmt1wcjf000069yld70w99n67","3","10",,"60s","6",
"cmt63fqxs0015cnwqj6b7l1kx","cmt63fqxs0013cnwqtpw9jiwr","cmt1wck2g000e9yld4xr43xd3","3","10",,"60s","0",
"cmt63fqxs0016cnwqa8yi7yst","cmt63fqxs0013cnwqtpw9jiwr","cmt33as87009iypj1w4df4hbw","3","10",,"60s","1",
"cmt63fqxs0017cnwqpi33q9kg","cmt63fqxs0013cnwqtpw9jiwr","cmt1wck7k000g9ylds1f74e5f","3","10",,"60s","2",
"cmt63fqxs0018cnwqnnpiaeig","cmt63fqxs0013cnwqtpw9jiwr","cmt1wckgy000k9yld3uhbxcmz","3","10",,"60s","3",
"cmt63fqxs0019cnwqnsqftu0i","cmt63fqxs0013cnwqtpw9jiwr","cmt1wcku0000p9yldlixr5utq","3","10",,"60s","4",
"cmt63fqxs001acnwq95uoqzkx","cmt63fqxs0013cnwqtpw9jiwr","cmt1wckrp000o9yldwght3fhg","3","10",,"60s","5",
"cmt63fqxs001bcnwqa564int7","cmt63fqxs0013cnwqtpw9jiwr","cmt1wckwc000q9yldx9h39v95","3","10",,"60s","6",
"cmt63fqxs001ecnwqlxj1g7y0","cmt63fqxs001ccnwq47pq7oxr","cmt1wcl3l000t9yldu1yg9vwg","3","10",,"60s","0",
"cmt63fqxs001fcnwqr2860nfi","cmt63fqxs001ccnwq47pq7oxr","cmt1wcjvc000c9yldxsamglp5","3","10",,"60s","1",
"cmt63fqxs001gcnwqdizt2xao","cmt63fqxs001ccnwq47pq7oxr","cmt1wclaq000w9yldzyk12ehl","3","10",,"60s","2",
